x
42	27	8
35	22	6
27	15	3
27	16	10
22	7	10
67	49	61
223	202	221
242	221	252
213	195	245
127	112	181
68	55	147
83	68	169
89	73	171
84	69	162
87	74	166
90	77	169
86	73	165
93	80	172
51	37	2
51	36	5
48	32	9
37	24	8
26	13	5
28	16	16
15	0	9
133	115	131
237	215	236
247	226	255
193	175	225
122	107	176
72	59	151
82	67	168
87	72	167
91	74	168
89	74	169
91	77	174
91	77	174
95	81	178
56	40	4
53	38	5
44	28	3
37	21	5
33	20	12
30	18	20
14	0	9
221	202	221
243	221	244
254	232	255
186	168	220
118	102	173
77	64	156
80	68	168
86	71	164
90	75	166
87	73	168
89	75	172
95	81	178
99	85	182
58	43	4
54	38	4
53	36	10
37	21	5
25	12	3
25	13	13
19	3	13
210	191	210
226	203	229
245	223	255
199	180	236
112	96	169
81	68	158
83	71	169
90	75	168
90	73	165
91	75	173
89	73	172
101	85	184
106	90	189
69	51	15
48	32	0
51	33	9
36	19	1
26	12	1
34	21	15
21	7	7
83	65	77
206	183	209
226	203	245
204	184	245
102	85	163
87	74	164
84	70	165
99	82	176
92	75	169
101	83	182
91	75	174
104	88	187
106	90	189
66	47	14
49	30	0
56	36	12
39	22	4
31	18	2
31	18	9
31	18	12
21	4	10
97	75	98
226	203	245
167	147	210
97	80	158
93	79	167
85	72	164
102	85	179
93	73	168
107	87	186
91	73	172
105	87	186
105	87	186
65	44	13
54	35	5
54	34	10
44	26	6
27	14	0
32	20	6
34	21	12
24	8	8
184	163	180
249	227	255
167	147	206
97	81	156
93	79	166
85	70	163
99	79	174
98	78	175
105	85	182
97	77	174
98	78	175
111	91	188
66	42	14
53	32	5
55	33	9
47	29	7
32	16	0
33	21	7
38	26	14
33	18	13
45	24	33
222	199	227
169	149	202
83	66	137
97	82	167
89	74	167
100	80	177
102	80	178
107	86	181
97	78	170
98	79	171
111	92	184
65	41	15
54	30	4
55	34	7
50	32	8
35	19	4
34	20	9
41	27	16
42	27	20
31	11	12
225	204	221
146	128	170
242	226	255
98	83	166
89	72	166
112	90	188
106	82	180
108	87	180
99	78	169
99	78	169
111	90	181
64	38	13
57	31	4
60	36	8
53	33	8
37	21	6
36	22	11
42	28	17
46	29	19
45	26	20
229	207	219
152	131	170
255	240	255
120	102	184
94	75	167
114	90	186
107	81	178
110	87	178
98	78	167
97	77	166
108	88	177
63	37	10
60	34	7
63	40	9
54	34	7
39	23	7
40	26	15
44	30	17
45	29	16
32	13	6
228	207	216
149	129	166
255	237	255
148	129	208
87	67	156
132	107	199
112	85	178
115	92	180
105	83	168
104	82	167
115	93	178
61	35	8
62	36	9
64	41	10
55	34	7
43	26	10
45	31	20
46	32	19
45	29	16
78	60	50
255	241	248
148	128	163
241	221	255
162	144	220
87	67	154
111	85	176
118	92	183
121	97	185
110	88	173
109	87	172
121	99	184
